ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""",dc:source,"skos:definition ""en""",SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
TAMU,Texas A&M University,"Universidad pública de investigación en Texas, EE.UU., con un fuerte programa en oceanografía.",Texas A&M University,TAMU,https://www.tamu.edu/,"Public research university in Texas, USA, with a strong program in oceanography.",,,,,,,FALSE
IADO,Instituto Argentino de Oceanografía - CONICET,"Instituto de investigación del CONICET y la UNS en Bahía Blanca, dedicado a las ciencias marinas.",Argentine Institute of Oceanography - CONICET,IADO,https://iado.conicet.gov.ar/,"Research institute of CONICET and UNS in Bahía Blanca, dedicated to marine sciences.",,,,,CONICET,,FALSE
DINARA,Dirección Nacional de Recursos Acuáticos,Organismo de Uruguay responsable de la regulación y fomento del sector pesquero y acuícola.,National Directorate of Aquatic Resources,DINARA,https://www.gub.uy/direccion-nacional-recursos-acuaticos/,Uruguayan agency responsible for the regulation and promotion of the fishing and aquaculture sector.,,,,,,,FALSE
FAO,Organización de las Naciones Unidas para la Alimentación y la Agricultura,Agencia especializada de la ONU que lidera los esfuerzos internacionales para vencer el hambre y mejorar la nutrición y la seguridad alimentaria.,Food and Agriculture Organization of the United Nations,FAO,https://www.fao.org/,Specialized agency of the UN that leads international efforts to defeat hunger and improve nutrition and food security.,,,,,,,FALSE
COI,Comisión Oceanográfica Intergubernamental,"Organismo de la UNESCO para las ciencias, los servicios y la observación de los océanos a nivel mundial.",Intergovernmental Oceanographic Commission,IOC,https://ioc.unesco.org/,"UNESCO's body for global ocean science, services, and observations.",,,,,,,FALSE
SAYDS,Secretaría de Ambiente y Desarrollo Sustentable,Organismo gubernamental a nivel nacional o provincial responsable de las políticas ambientales y de desarrollo sostenible.,Secretariat of Environment and Sustainable Development,SAyDS,,Governmental body at the national or provincial level responsible for environmental and sustainable development policies.,,,,,,,FALSE
UBA,Universidad de Buenos Aires,"Principal universidad pública de Argentina, con una amplia gama de programas de investigación, incluyendo ciencias del mar.",University of Buenos Aires,UBA,https://www.uba.ar/,"The main public university in Argentina, with a wide range of research programs, including marine sciences.",,,,,,,FALSE
USP,Universidade de São Paulo,"Una de las universidades públicas más importantes de Brasil, con un prestigioso Instituto Oceanográfico.",University of São Paulo,USP,https://www5.usp.br/,"One of the most important public universities in Brazil, with a prestigious Oceanographic Institute.",,,,,,,FALSE
UMI-IFAECI,Instituto Franco-Argentino sobre Estudios de Clima y sus Impactos,Centro de investigación binacional (Argentina-Francia) dedicado al estudio de la variabilidad y el cambio climático.,French-Argentine Institute on Climate Studies and their Impacts,UMI-IFAECI,http://www.ifaeci.cnrs.fr/,Bi-national research center (Argentina-France) dedicated to the study of climate variability and change.,,,,,,,FALSE
CIMA,Centro de Investigaciones del Mar y la Atmósfera,Instituto de investigación (UBA-CONICET) enfocado en las ciencias de la atmósfera y los océanos.,Centre for Atmospheric and Ocean Research,CIMA,https://www.cima.fcen.uba.ar/,Research institute (UBA-CONICET) focused on atmospheric and ocean sciences.,,,,,CONICET,,FALSE
ICM,Institut de Ciències del Mar de Barcelona,"Centro de investigación marina del CSIC ubicado en Barcelona, España.",Institute of Marine Sciences of Barcelona,ICM,https://www.icm.csic.es/,"Marine research center of the CSIC located in Barcelona, Spain.",,,,,,,FALSE
OSSE,Obras Sanitarias Sociedad del Estado MGP,Empresa estatal responsable de los servicios de agua potable y saneamiento en el Partido de General Pueyrredón (Mar del Plata).,Obras Sanitarias State Enterprise MGP,OSSE,https://www.osmgp.gov.ar/,State-owned company responsible for drinking water and sanitation services in the General Pueyrredón district (Mar del Plata).,,,,,,,FALSE
CIMAS,Centro de Investigación Aplicada y Transferencia Tecnológica en Recursos Marinos Alte. Storni,"Instituto de investigación en San Antonio Oeste, Argentina, enfocado en la acuicultura y los recursos marinos patagónicos.",Alte. Storni Center for Applied Research and Technology Transfer in Marine Resources,CIMAS,https://cimas.org.ar/,"Research institute in San Antonio Oeste, Argentina, focused on aquaculture and Patagonian marine resources.",,,,,,,FALSE
SIO,Scripps Institution of Oceanography,"Una de las instituciones de investigación oceanográfica más antiguas y grandes del mundo, parte de la Universidad de California, San Diego.",Scripps Institution of Oceanography,SIO,https://scripps.ucsd.edu/,"One of the world's oldest and largest oceanographic research institutions, part of the University of California, San Diego.",,,,,,,FALSE
AOML,Atlantic Oceanographic and Meteorological Laboratory,"Laboratorio de investigación de la NOAA en Miami, EE.UU., que estudia los océanos y la atmósfera del Atlántico.",Atlantic Oceanographic and Meteorological Laboratory,AOML,https://www.aoml.noaa.gov/,"A research laboratory of NOAA in Miami, USA, that studies the Atlantic oceans and atmosphere.",,,,,,,FALSE
FURG,Universidade Federal do Rio Grande,"Universidad pública brasileña en Rio Grande, con un fuerte enfoque en las ciencias marinas y la oceanografía.",Federal University of Rio Grande,FURG,https://www.furg.br/,"A Brazilian public university in Rio Grande, with a strong focus on marine sciences and oceanography.",,,,,,,FALSE
