ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:prefLabel ""en""","skos:definition ""en""",SKOS:ExactMatch,SKOS:CloseMatch,SKOS:broader,SKOS:narrower,dc:source,"skos:historyNote ""es""","skos:scopeNote ""es""",gml:lowerCorner,gml:upperCorner,owl:deprecated
BSH1122,Río Gallegos,"Puerto marítimo ubicado en la desembocadura del río Gallegos, provincia de Santa Cruz.",Río Gallegos,,"Maritime port located at the mouth of the Gallegos River, Santa Cruz province.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1122/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-51.616667 -69.216667,-51.616667 -69.216667,FALSE
BSH279,Bahía Blanca,"Puerto marítimo importante de la provincia de Buenos Aires, Argentina.",Bahía Blanca,,"Major maritime port in the province of Buenos Aires, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH279/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38.75 62.25,-38.75 62.25,FALSE
BSH1166,Carmen De Patagones,"Puerto fluvial ubicado en el partido de Patagones, provincia de Buenos Aires, Argentina.",Carmen De Patagones,,"Fluvial port located in Patagones district, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1166/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-40.8 -62.983333,-40.8 -62.983333,FALSE
BSH173,Puerto Rico,"Puerto fluvial sobre el río Paraná, en la provincia de Misiones, Argentina.",Puerto Rico,,"Fluvial port on the Paraná River, Misiones province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH173/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-26.83333 -55.13333,-26.83333 -55.13333,FALSE
BSH1125,San Julian,"Puerto marítimo ubicado en la bahía San Julián, provincia de Santa Cruz, Argentina.",San Julian,,"Maritime port located in San Julián Bay, Santa Cruz province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1125/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-49.316667 -67.7,-49.316667 -67.7,FALSE
BSH1246,Campana,"Puerto fluvial industrial sobre el río Paraná, provincia de Buenos Aires, Argentina.",Campana,,"Industrial fluvial port on the Paraná River, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1246/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-34.15 -58.966667,-34.15 -58.966667,FALSE
BSH1278,Concepción del Uruguay,"Puerto fluvial sobre el río Uruguay, en la provincia de Entre Ríos, Argentina.",Concepcion Del Uruguay,,"Fluvial port on the Uruguay River, Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1278/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-32.483333 -58.233333,-32.483333 -58.233333,FALSE
BSH1113,Río Grande,"Puerto marítimo en la ciudad de Río Grande, Tierra del Fuego, Argentina.",Rio Grande,,"Maritime port in Río Grande city, Tierra del Fuego, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1113/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-53.783333 -67.683333,-53.783333 -67.683333,FALSE
BSH1283,Diamante,"Puerto fluvial sobre el río Paraná, en la provincia de Entre Ríos, Argentina.",Diamante,,"Fluvial port on the Paraná River, Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1283/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-32.066667 -60.65,-32.066667 -60.65,FALSE
BSH1126,Puerto Deseado,"Puerto marítimo ubicado en la desembocadura del río Deseado, provincia de Santa Cruz, Argentina.",Puerto Deseado,,"Maritime port located at the mouth of the Deseado River, Santa Cruz province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1126/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-47.75 -65.9,-47.75 -65.9,FALSE
BSH122,Madryn,"Puerto marítimo en cercanías de la ciudad de Puerto Madryn, provincia del Chubut, Argentina.",Madryn,,"Maritime port near the city of Puerto Madryn, Chubut province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH122/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-42.75 -65.03333,-42.75 -65.03333,FALSE
BSH1124,Santa Cruz,"Puerto marítimo en la desembocadura del río Santa Cruz, en la provincia homónima, Argentina.",Santa Cruz,,"Maritime port at the mouth of the Santa Cruz River, in the province of the same name, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1124/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-50.016667 -68.516667,-50.016667 -68.516667,FALSE
BSH1292,Concordia,"Puerto fluvial sobre el río Uruguay, en la provincia de Entre Ríos, Argentina.",Concordia,,"Fluvial port on the Uruguay River, Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1292/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-31.4 -58.033333,-31.4 -58.033333,FALSE
BSH215,Ushuaia,"Puerto marítimo más austral del país, ubicado en la ciudad de Ushuaia, Tierra del Fuego, Argentina.",Ushuaia,,"Southernmost maritime port in Argentina, located in the city of Ushuaia, Tierra del Fuego.",http://vocab.nerc.ac.uk/collection/C38/current/BSH215/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-54.8 -68.31667,-54.8 -68.31667,FALSE
BSH1180,Puerto Galván,"Puerto comercial en el complejo portuario de Bahía Blanca, provincia de Buenos Aires, Argentina.",Puerto Galvan,,"Commercial port within the Bahía Blanca complex, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1180/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38.783333 -62.3,-38.783333 -62.3,FALSE
BSH1289,Santa Fe,"Puerto fluvial ubicado en la ciudad capital de la provincia de Santa Fe, Argentina.",Santa Fe,,"Fluvial port located in the capital city of Santa Fe province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1289/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-31.65 -60.7,-31.65 -60.7,FALSE
BSH1291,Curtiembre,"Puerto fluvial en la provincia de Entre Ríos, sobre el río Paraná, Argentina.",Curtiembre,,"Fluvial port in Entre Ríos province, on the Paraná River, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1291/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-31.416667 -60.1,-31.416667 -60.1,FALSE
BSH1328,Puerto Bermejo,"Puerto fluvial chaqueño ubicado sobre el río Paraguay, Argentina.",Puerto Bermejo,,"Fluvial port in Chaco province, located on the Paraguay River, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1328/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-26.933333 -58.5,-26.933333 -58.5,FALSE
BSH1189,Quequén,"Puerto marítimo cerealero situado en la costa atlántica bonaerense, Argentina.",Quequen,,"Cereal maritime port on the Atlantic coast of Buenos Aires, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1189/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38.583333 -58.7,-38.583333 -58.7,FALSE
BSH1255,Puerto Ibicuy,"Puerto fluvial de ultramar sobre el río Paraná Bravo, provincia de Entre Ríos, Argentina.",Puerto Ibicuy,,"Overseas fluvial port on the Paraná Bravo River, Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1255/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-33.75 -59.183333,-33.75 -59.183333,FALSE
BSH1280,Colón,"Puerto fluvial turístico y comercial sobre el río Uruguay, provincia de Entre Ríos, Argentina.",Colon,,"Tourist and commercial fluvial port on the Uruguay River, Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1280/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-32.216667 -58.133333,-32.216667 -58.133333,FALSE
BSH1316,Puerto Piracuacito,"Puerto fluvial menor sobre el río Paraná, en el norte de Entre Ríos, Argentina.",Puerto Piracuacito,,"Minor fluvial port on the Paraná River, northern Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1316/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-28.166667 -59.083333,-28.166667 -59.083333,FALSE
BSH1296,La Paz,"Puerto fluvial ubicado en la ciudad de La Paz, provincia de Entre Ríos, sobre el río Paraná.",La Paz,,"Fluvial port located in the city of La Paz, Entre Ríos province, on the Paraná River.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1296/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-30.75 -59.65,-30.75 -59.65,FALSE
BSH1323,Corrientes,"Puerto fluvial ubicado en la ciudad de Corrientes, capital de la provincia homónima, Argentina.",Corrientes,,"Fluvial port located in the city of Corrientes, capital of the province with the same name, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1323/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-27.483333 -58.833333,-27.483333 -58.833333,FALSE
BSH1178,Puerto Ingeniero White,"Puerto comercial y granelero en el complejo de Bahía Blanca, provincia de Buenos Aires, Argentina.",Puerto Ingeniero White,,"Commercial and bulk terminal port in the Bahía Blanca complex, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1178/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38.8 -62.266667,-38.8 -62.266667,FALSE
BSH1288,Villa Urquiza,"Puerto fluvial en la provincia de Entre Ríos, sobre el río Paraná, Argentina.",Villa Urquiza,,"Fluvial port in Entre Ríos province, on the Paraná River, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1288/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-31.666667 -60.366667,-31.666667 -60.366667,FALSE
BSH172,Punta Quilla,"Puerto marítimo ubicado en la desembocadura del río Chico, provincia de Santa Cruz, Argentina.",Punta Quilla,,"Maritime port at the mouth of the Chico River, Santa Cruz province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH172/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-50.11667 -68.41667,-50.11667 -68.41667,FALSE
BSH1299,Esquina,"Puerto fluvial en la ciudad de Esquina, provincia de Corrientes, Argentina.",Esquina,,"Fluvial port in Esquina city, Corrientes province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1299/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-30 -59.533333,-30 -59.533333,FALSE
BSH1259,Romallo,"Puerto fluvial menor ubicado en Entre Ríos, Argentina.",Romallo,,"Minor fluvial port located in Entre Ríos, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1259/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-33.483333 -60.016667,-33.483333 -60.016667,FALSE
BSH1176,Puerto Rosales,"Puerto comercial y logístico militar cercano a Puerto Belgrano, provincia de Buenos Aires, Argentina.",Puerto Rosales,,"Commercial and military logistics port near Puerto Belgrano, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1176/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38.916667 -62.066667,-38.916667 -62.066667,FALSE
BSH1231,La Plata,"Puerto marítimo en la ciudad de Ensenada, operando como puerto de La Plata, provincia de Buenos Aires.",La Plata,,"Maritime port located in Ensenada, operating as La Plata port, Buenos Aires province.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1231/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-34.9 -57.933333,-34.9 -57.933333,FALSE
BSH1294,Puerto Brugo,"Puerto fluvial rural en la provincia de Entre Ríos, Argentina.",Puerto Brugo,,"Rural fluvial port in Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1294/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-31.366667 -60.066667,-31.366667 -60.066667,FALSE
BSH1275,Puerto San Martin,"Puerto industrial sobre el río Paraná, provincia de Santa Fe, Argentina.",Puerto San Martin,,"Industrial port on the Paraná River, Santa Fe province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1275/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-32.716667 -60.733333,-32.716667 -60.733333,FALSE
BSH126,Mar del Plata,"Puerto marítimo y pesquero ubicado en la ciudad homónima, provincia de Buenos Aires, Argentina.",Mar del Plata,,"Maritime and fishing port located in the city of the same name, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH126/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38 -57.53333,-38 -57.53333,FALSE
BSH1270,Rosario,"Puerto fluvial sobre el río Paraná, en la ciudad de Rosario, provincia de Santa Fe, Argentina.",Rosario,,"Fluvial port on the Paraná River, in the city of Rosario, Santa Fe province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1270/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-32.95 -60.633333,-32.95 -60.633333,FALSE
BSH1260,San Nicolás,"Puerto fluvial sobre el río Paraná, en la ciudad de San Nicolás, provincia de Buenos Aires, Argentina.",San Nicolas,,"Fluvial port on the Paraná River, in San Nicolás, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1260/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-33.333333 -60.233333,-33.333333 -60.233333,FALSE
BSH1319,Empedrado,"Puerto fluvial sobre el río Paraná, en la localidad de Empedrado, provincia de Corrientes, Argentina.",Empedrado,,"Fluvial port on the Paraná River, in Empedrado, Corrientes province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1319/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-27.95 -58.75,-27.95 -58.75,FALSE
BSH1295,Villa Hernandarias,"Puerto fluvial menor en la provincia de Entre Ríos, sobre el río Paraná, Argentina.",Villa Hernandarias,,"Minor fluvial port in Entre Ríos province, on the Paraná River, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1295/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-31.216667 -59.983333,-31.216667 -59.983333,FALSE
BSH1257,San Pedro,"Puerto fluvial en la ciudad de San Pedro, provincia de Buenos Aires, Argentina.",San Pedro,,"Fluvial port in the city of San Pedro, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1257/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-33.583333 -59.816667,-33.583333 -59.816667,FALSE
BSH1274,San Lorenzo,"Puerto fluvial industrial sobre el río Paraná, en la ciudad de San Lorenzo, Santa Fe, Argentina.",San Lorenzo,,"Industrial fluvial port on the Paraná River, in San Lorenzo, Santa Fe province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1274/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-32.75 -60.733333,-32.75 -60.733333,FALSE
BSH33,Buenos Aires,"Puerto marítimo principal del país, ubicado en la Ciudad Autónoma de Buenos Aires, Argentina.",Buenos Aires,,"Main maritime port of the country, located in the Autonomous City of Buenos Aires, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH33/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-34.6 -58.36667,-34.6 -58.36667,FALSE
BSH1306,Puerto Goya,"Puerto fluvial sobre el río Paraná, en la ciudad de Goya, provincia de Corrientes, Argentina.",Puerto Goya,,"Fluvial port on the Paraná River, in the city of Goya, Corrientes province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1306/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-29.2 -59.283333,-29.2 -59.283333,FALSE
BSH1262,Villa Constitución,"Puerto fluvial ubicado en la ciudad de Villa Constitución, sobre el río Paraná, provincia de Santa Fe.",Villa Constitucion,,"Fluvial port in the city of Villa Constitución, on the Paraná River, Santa Fe province.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1262/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-33.233333 -60.333333,-33.233333 -60.333333,FALSE
ZEEA,Zona económica exclusiva argentina,"Área marítima contigua al mar territorial argentino que se extiende hasta las 200 millas náuticas, donde el país ejerce derechos soberanos sobre recursos naturales.",Argentine exclusive economic zone,,"Maritime area adjacent to the Argentine territorial sea, extending up to 200 nautical miles, where Argentina holds sovereign rights over natural resources.",,,,"ZEEBA
ZEERN
ZEECH
ZEESC
ZEETF","Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
ZEEBA,Zona económica exclusiva de Buenos Aires,"Franja marítima de hasta 12 millas náuticas bajo jurisdicción provincial de Buenos Aires, Argentina.",Exclusive economic zone of Buenos Aires,,"Maritime zone up to 12 nautical miles under the jurisdiction of the province of Buenos Aires, Argentina.",,,ZEEA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
ZEERN,Zona económica exclusiva de Río Negro,"Franja marítima de hasta 12 millas náuticas bajo jurisdicción provincial de Río Negro, Argentina.",Exclusive economic zone of Río Negro,,"Maritime zone up to 12 nautical miles under the jurisdiction of the province of Río Negro, Argentina.",,,ZEEA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
ZEECH,Zona económica exclusiva de Chubut,"Franja marítima de hasta 12 millas náuticas bajo jurisdicción provincial de Chubut, Argentina.",Exclusive economic zone of Chubut,,"Maritime zone up to 12 nautical miles under the jurisdiction of the province of Chubut, Argentina.",,,ZEEA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
ZEESC,Zona económica exclusiva de Santa Cruz,"Franja marítima de hasta 12 millas náuticas bajo jurisdicción provincial de Santa Cruz, Argentina.",Exclusive economic zone of Santa Cruz,,"Maritime zone up to 12 nautical miles under the jurisdiction of the province of Santa Cruz, Argentina.",,,ZEEA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
ZEETF,Zona económica exclusiva de Tierra del Fuego,"Franja marítima de hasta 12 millas náuticas bajo jurisdicción provincial de Tierra del Fuego, Antártida e Islas del Atlántico Sur, Argentina.",Exclusive economic zone of Tierra del Fuego,,"Maritime zone up to 12 nautical miles under the jurisdiction of the province of Tierra del Fuego, Antarctica and South Atlantic Islands, Argentina.",,,ZEEA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
PAREA,Área protegida,"Espacio geográfico delimitado, terrestre o marino, destinado a la conservación de la biodiversidad, los recursos naturales y el patrimonio cultural, sujeto a normativas específicas de manejo.",Protected area,,"Defined geographic space, terrestrial or marine, designated for the conservation of biodiversity, natural resources, and cultural heritage, and managed through legal or other effective means.",http://inspire.ec.europa.eu/featureconcept/ProtectedSite,,,"RUMAL
RVSAG
RODAZ
AMPAM
RPBBF
RNUMS
RNPBL
RNIBS
RNUMB
RNPSJ
AMPBH
RNDBC
RNPCB
ANPDB
RNPCV
ANPCL
RNPCO
RNPCD
RNDCM
RFRCL
RCATF
AMPDPA
ANPED
RNMFQ
RNMFR
RNFSA
RNPHC
RPMIE
RNID
PIMIL
PNIML
PIMIP
RNPIC
RODIG
RFPIL
RNPMK
RBMCH
RVSMT
PNML
RNPML
AMPN1
AMPN2
PIMPA
RBPAZ
RNPPC
APPPM
RNPSJ
ANPPV
AMPPI
ANPPL
RFPPL
RNPMP
RFPPB
RFPBA
RFPLE
ANPLO
RNUMQ
RPPPO
RNPR
ANPPT
ANPTM
RPCBB
RNUMF
RNPRD
RNRA
HIERG
ANPRC
PNTF
AMPYA","Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
RUMAL,Reserva Acantilado de Los Loros,"Es una Reserva de Uso Múltiple provincial ubicada en el Golfo San Matías, Río Negro. Protege una colonia de loros barranqueros que es la más grande del mundo. Además, es un sitio de importancia para la reproducción, cría y alimentación de otras especies de aves, mamíferos marinos e invertebrados.",Acantilado de Los Loros,,"It is a provincial Multiple-Use Reserve located in the San Matías Gulf, Río Negro. It protects a colony of burrowing parrots that is the largest in the world. Additionally, it is an important site for the reproduction, breeding, and feeding of other species of birds, marine mammals, and invertebrates.",,,PAREA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
RVSAG,Refugio de Vida Silvestre Arroyo Los Gauchos,"Es un Refugio de Vida Silvestre provincial en Buenos Aires, creado para proteger uno de los últimos arroyos pampeanos que conservan sus características naturales, junto con la fauna y flora asociadas, como la tortuga de arroyo y el lagarto overo.",Arroyo Los Gauchos,,"It is a provincial Wildlife Refuge in Buenos Aires, created to protect one of the last pampean streams that preserve their natural characteristics, along with associated fauna and flora, such as the creek turtle and the tegu lizard.",,,PAREA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
RODAZ,Reserva Arroyo Zabala,"Es una Reserva Natural de Objetivo Definido provincial en Buenos Aires, que protege el curso inferior del arroyo y sus ambientes asociados, incluyendo pastizales y fauna como el coipo y aves acuáticas.",Arroyo Zabala,,"It is a Defined-Objective Natural Reserve in Buenos Aires, which protects the lower course of the stream and its associated environments, including grasslands and fauna such as the coypu and aquatic birds.",,,PAREA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
AMPAM,Área Marina Protegida Aves Migratorias,"Es un Área Marina Protegida (AMP) propuesta, diseñada para proteger zonas de alimentación y descanso de aves marinas migratorias en el Mar Argentino. El objetivo es resguardar hábitats críticos para especies como albatros, petreles y pardelas, que utilizan estas áreas durante sus largos viajes.",Migratory Birds,,"It is a proposed Marine Protected Area (MPA) designed to protect feeding and resting zones for migratory seabirds in the Argentine Sea. The objective is to safeguard critical habitats for species such as albatrosses, petrels, and shearwaters, which use these areas during their long journeys.",,,PAREA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
RPBBF,"Reserva Bahía Blanca, Bahía Falsa y Bahía Verde","Es una reserva provincial que protege un extenso sistema de humedales costeros de importancia internacional (Sitio Ramsar), compuesto por marismas, planicies intermareales, islas y canales. Es un sitio clave para la conservación de aves playeras y acuáticas.","Bahía Blanca, Bahía Falsa y Bahía Verde",,"It is a provincial reserve that protects an extensive system of coastal wetlands of international importance (Ramsar Site), composed of salt marshes, intertidal flats, islands, and channels. It is a key site for the conservation of shorebirds and aquatic birds.",,,PAREA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
RNUMS,Reserva Bahía de San Antonio,"Es una Reserva Natural de Usos Múltiples de Río Negro que abarca un sistema de humedales de importancia internacional (Sitio Ramsar). Es clave para la conservación de aves playeras migratorias y protege una gran diversidad de ambientes como marismas, planicies intermareales y dunas.",Bahía de San Antonio,,"It is a Multiple-Use Natural Reserve in Río Negro that encompasses a wetland system of international importance (Ramsar Site). It is key for the conservation of migratory shorebirds and protects a great diversity of environments such as salt marshes, intertidal plains, and dunes.",,,PAREA,,"Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
